Data_entry_person,Observation_ID,study,Paper_no,Author,Author-2,level,co2_level,DeltaCO2,Food.supply,Unit,Mean_Ambient,SE_Ambient,SD_Ambient,N_Ambient,Mean_Elevated,SE_Elevated,SD_Elevated,N_Elevated,,,,,
Kat,8,8,4,Thomsen-1,Thomsen,2,1,740,Low,shell length (um),1422.22,134.3852684,355.55,7,1806,142.4926063,377,7,,,,,NB: should we use the metric dry weight here instead of size??
Kat,13,10,4,Thomsen-2,Thomsen,3,2,2020,High,shell length (um),3875,250.9684101,664,7,3471.4,238.457786,630.9,7,,,,,NB: should we use the metric dry weight here instead of size??
Kat,11,8,4,Thomsen-2,Thomsen,4,2,2020,Low,shell length (um),1422.22,134.3852684,355.55,7,1464.8,99.55584219,263.4,7,,,,,NB: should we use the metric dry weight here instead of size??
Kat,16,10,4,Thomsen-3,Thomsen,5,3,3620,High,shell length (um),3875,250.9684101,664,7,3379.5,256.0709305,677.5,7,,,,,NB: should we use the metric dry weight here instead of size??
Kat,14,8,4,Thomsen-3,Thomsen,6,3,3620,Low,shell length (um),1422.22,134.3852684,355.55,7,1300.6,28.23394613,74.7,7,,,,,NB: should we use the metric dry weight here instead of size??
Joey,10,10,4,Thomsen-4,Thomsen,1,1,740,High,organic mass (mg),0.708953817,0.102737925,0.271819,7,0.557775,0.110076361,0.291234677,7,,,,,
Joey,8,8,4,Thomsen-4,Thomsen,2,1,740,Low,organic mass (mg),0.062676,3.78E-05,0.0001,7,0.105749293,3.78E-05,0.0001,7,,,,,
Joey,13,10,4,Thomsen-5,Thomsen,3,2,2020,High,organic mass (mg),0.708953817,0.102737925,0.271819,7,0.639679548,0.132091637,0.349481621,7,,,,,
Joey,11,8,4,Thomsen-5,Thomsen,4,2,2020,Low,organic mass (mg),0.062676,3.78E-05,0.0001,7,0.090386428,3.78E-05,0.0001,7,,,,,
Joey,16,10,4,Thomsen-6,Thomsen,5,3,3620,High,organic mass (mg),0.708953817,0.102737925,0.271819,7,0.585579642,0.099068728,0.262111216,7,,,,,
Joey,14,8,4,Thomsen-6,Thomsen,6,3,3620,Low,organic mass (mg),0.062676,3.78E-05,0.0001,7,0.09462771,3.78E-05,0.0001,7,,,,,
Norah,38,26,10,Towle,Towle,1,1,409,High,growth (mg cm-2 d-1),1.300913,0.099087,0.313340607,10,1.32968,0.089498,0.283017526,10,,,,,
Norah,37,25,10,Towle,Towle,2,1,409,Low,growth (mg cm-2 d-1),1.380822,0.086301,0.272907724,10,1.006849,0.09589,0.303230805,10,,,,,
