Data_entry_person,New.ID,Observation_ID,study,Paper_no,Author,Year,Taxon,Taxon.big,"CO2 treatment (control, uatm)","CO2 treatment (elevated, uatm)",DeltaCO2,DeltapH,Unit,Treatment,CO2,Food.supply,Food.relative,Food.relative score,Mean,SE,SD,95CI,N
Kat,29,64,36,8,Pansch,2014,Barnacle,crustacean,596.8,1104.1,507.3,0.28,size- Tjarno(mm),AmbientHigh,Ambient,High,full,3,3.641196013,0.149162655,0.365372394,0.292358804,6
Kat,81,33,21,8,Pansch,2014,Barnacle,crustacean,596.8,1104.1,507.3,0.28,dry weight - Tjarno (mg),ElevatedHigh,Elevated,High,full,3,0.051015,0.003883163,0.009511769,0.007611,6
Kat,97,64,36,8,Pansch,2014,Barnacle,crustacean,596.8,1104.1,507.3,0.28,size- Tjarno(mm),ElevatedHigh,Elevated,High,full,3,3.800664452,0.176283138,0.431803738,0.34551495,6
Kat,26,57,31,3,Hettinger,2013,oyster,bivalve,494,1065,571,0.3,shell growth (mm),AmbientHigh,Ambient,High,natural,3,0.034772,0.000912,0.002039294,,5
Kat,60,58,32,3,Hettinger,2013,oyster,bivalve,539,1094,555,0.3,shell growth (mm),AmbientLow,Ambient,Low,one tenth,1,0.030982,0.004912,0.010983566,,5
Kat,94,57,31,3,Hettinger,2013,oyster,bivalve,494,1065,571,0.3,shell growth (mm),ElevatedHigh,Elevated,High,natural,3,0.031684,0.002035,0.004550398,,5
Kat,128,58,32,3,Hettinger,2013,oyster,bivalve,539,1094,555,0.3,shell growth (mm),ElevatedLow,Elevated,Low,one tenth,1,0.026702,0.002105,0.004706923,,5
Joey,31,10,10,4,Thomsen,2013,Mussel,bivalve,380,1120,740,0.31,shell length (um),AmbientHigh,Ambient,High,full food,3,3875,250.9684101,664,,7
Norah,57,51,29,12,Melzner,2011,Mussel,bivalve,542.8,1125.1,582.3,0.31,length growth,AmbientLow,Ambient,Low,low no filter,1,1.2,0.15,0.3,,4
Joey,65,8,8,4,Thomsen,2013,Mussel,bivalve,380,1120,740,0.31,shell length (um),AmbientLow,Ambient,Low,one tenth,1,1422.22,134.3852684,355.55,,7
Joey,99,10,10,4,Thomsen,2013,Mussel,bivalve,380,1120,740,0.31,shell length (um),ElevatedHigh,Elevated,High,full food,3,3342,215.137378,569.2,,7
Norah,125,51,29,12,Melzner,2011,Mussel,bivalve,542.8,1125.1,582.3,0.31,length growth,ElevatedLow,Elevated,Low,low no filter,1,1.5,0.2,0.4,,4
Joey,133,8,8,4,Thomsen,2013,Mussel,bivalve,380,1120,740,0.31,shell length (um),ElevatedLow,Elevated,Low,one tenth,1,1806,142.4926063,377,,7
Norah,23,52,30,12,Melzner,2011,Mussel,bivalve,523.1,1174.4,651.3,0.32,length growth,AmbientHigh,Ambient,High,natural,2,2.6,0.6,1.2,,4
Norah,91,52,30,12,Melzner,2011,Mussel,bivalve,523.1,1174.4,651.3,0.32,length growth,ElevatedHigh,Elevated,High,natural,2,3,0.4,0.8,,4
Kat,63,63,35,8,Pansch,2014,Barnacle,crustacean,526.4,1141.7,615.3,0.33,size- Tjarno(mm),AmbientLow,Ambient,Low,one fifth,1,2.976744186,0.230524104,0.564666427,0.451827243,6
Kat,131,63,35,8,Pansch,2014,Barnacle,crustacean,526.4,1141.7,615.3,0.33,size- Tjarno(mm),ElevatedLow,Elevated,Low,one fifth,1,2.897009967,0.284765069,0.697529115,0.558139535,6
Kat,61,59,33,8,Pansch,2014,Barnacle,crustacean,453.6,949.7,496.1,0.35,size- Kiel (mm),AmbientLow,Ambient,Low,one fifth,1,8.372093,0.213573802,0.604077933,0.418604651,8
Kat,129,59,33,8,Pansch,2014,Barnacle,crustacean,453.6,949.7,496.1,0.35,size- Kiel (mm),ElevatedLow,Elevated,Low,one fifth,1,8.491694,0.274594898,0.776671658,0.538206,8
Kat,27,60,34,8,Pansch,2014,Barnacle,crustacean,499,981.5,482.5,0.37,size- Kiel (mm),AmbientHigh,Ambient,High,full,3,12.85714286,0.457658146,1.294452715,0.897009967,8
Kat,95,60,34,8,Pansch,2014,Barnacle,crustacean,499,981.5,482.5,0.37,size- Kiel (mm),ElevatedHigh,Elevated,High,full,3,12.79734,0.305105612,0.86296899,0.598007,8
Norah,34,74,40,11,Drenkard,2013,Coral,coral,443,1344,901,0.4,septa diameter (um),AmbientHigh,Ambient,High,fed,3,2132,60.03,103.97501,,3
Norah,68,73,39,11,Drenkard,2013,Coral,coral,398,1278,880,0.4,septa diameter (um),AmbientLow,Ambient,Low,starvation,0,1385.96,26.32,45.58757726,,3
Norah,102,74,40,11,Drenkard,2013,Coral,coral,443,1344,901,0.4,septa diameter (um),ElevatedHigh,Elevated,High,fed,3,2062,44.19,76.53932519,,3
Norah,136,73,39,11,Drenkard,2013,Coral,coral,398,1278,880,0.4,septa diameter (um),ElevatedLow,Elevated,Low,starvation,0,1322,42.39,73.42163373,,3
Norah,1,2,2,1,Cole,2016,oyster,bivalve,388.42,1158.07,769.65,0.41,shell length (um),AmbientHigh,Ambient,High,full food,3,292.6901,5.4581,3.1512,,3
Norah,35,1,1,1,Cole,2016,oyster,bivalve,388.42,1158.07,769.65,0.41,shell length (um),AmbientLow,Ambient,Low,half food,1,274.9513,2.0468,1.1817,,3
Norah,69,2,2,1,Cole,2016,oyster,bivalve,388.42,1158.07,769.65,0.41,shell length (um),ElevatedHigh,Elevated,High,full food,3,274.9513,4.7758,2.7573,,3
Norah,103,1,1,1,Cole,2016,oyster,bivalve,388.42,1158.07,769.65,0.41,shell length (um),ElevatedLow,Elevated,Low,half food,1,274.9513,2.729,1.5756,,3
Norah,8,20,12,5,Crook,2013,coral,coral,410,1220,810,0.43,volume (mm3),AmbientHigh,Ambient,High,plentiful,3,81.03448,9.051724,43.4105433,,23
Norah,42,19,11,5,Crook,2013,coral,coral,410,1220,810,0.43,volume (mm3),AmbientLow,Ambient,Low,low maintenance,1,8.62069,1.293103,7.540021388,,34
Norah,76,20,12,5,Crook,2013,coral,coral,410,1220,810,0.43,volume (mm3),ElevatedHigh,Elevated,High,plentiful,3,84.91379,5.603448,26.28250081,,22
Norah,110,19,11,5,Crook,2013,coral,coral,410,1220,810,0.43,volume (mm3),ElevatedLow,Elevated,Low,low maintenance,1,8.189655,1.293103,6.963572768,,29
Kat,15,36,24,9,Ramajo,2016,Scallop,bivalve,552,1519,967,0.45,growth (mm d-1),AmbientHigh,Ambient,High,full,3,0.016055,0.003282,0.005684591,,3
Kat,49,34,22,9,Ramajo,2016,Scallop,bivalve,405,1304,899,0.45,growth (mm d-1),AmbientLow,Ambient,Low,one/50,1,0.009295,0.002306,0.003994109,,3
Kat,83,36,24,9,Ramajo,2016,Scallop,bivalve,552,1519,967,0.45,growth (mm d-1),ElevatedHigh,Elevated,High,full,3,0.03335,0.003459,0.005991164,,3
Kat,117,34,22,9,Ramajo,2016,Scallop,bivalve,405,1304,899,0.45,growth (mm d-1),ElevatedLow,Elevated,Low,one/50,1,0.016656,0.00408,0.007066767,,3
