Data_entry_person,Observation_ID,study,Paper_no,Author,Author-2,level,co2_level,DeltaCO2,Food.supply,Unit,Mean_Ambient,SE_Ambient,SD_Ambient,N_Ambient,Mean_Elevated,SE_Elevated,SD_Elevated,N_Elevated
Norah,5,5,3,Hettinger-1,Hettinger,2,1,571,High,total dry weight (ug/larva),4.210178034,0.08467,0.19,5,3.8993252,0.0605,0.13528,5
Norah,7,7,3,Hettinger-1,Hettinger,1,1,555,Low,total dry weight (ug/larva),3.12294935,0.084724,0.19,5,2.921063328,0.290366602,0.64928,5
Norah,57,31,3,Hettinger-2,Hettinger,2,1,571,High,shell growth (mm),0.034772,0.000912,0.002039294,5,0.031684,0.002035,0.00455,5
Norah,58,32,3,Hettinger-2,Hettinger,1,1,555,Low,shell growth (mm),0.030982,0.004912,0.010983566,5,0.026702,0.002105,0.00471,5
Norah,79,45,18,Hurst,Hurst,1,1,730,Low,Growth (mm/day) ,0.087021944,0.006018809,0.010424883,3,0.090282132,0.013793103,0.02389,3
Norah,80,46,18,Hurst,Hurst,2,1,730,High,Growth (mm/day) ,0.142194357,0.001504702,0.002606221,3,0.134420063,0.003009404,0.00521,3
Norah,81,45,18,Hurst,Hurst,1,1,730,Low,Mass growth (mg/day),0.023123167,0.001627566,0.002819027,3,0.022991202,0.004046921,0.00701,3
Norah,82,46,18,Hurst,Hurst,2,1,730,High,Mass growth (mg/day),0.033504399,0.000219941,0.00038095,3,0.032404692,0.000395894,0.00069,3
Norah,41,29,12,Melzner-1,Melzner,1,1,582.3,Low,somatic mass growth (mg dry mass),5,3.05,6.1,4,7,4.7,9.40000,4
Kat,42,30,12,Melzner-1,Melzner,2,1,651.3,High,somatic mass growth (mg dry mass),34.7,13.6,27.2,4,40.7,15.25,30.50000,4
Norah,51,29,12,Melzner-2,Melzner,1,1,582.3,Low,length growth,1.2,0.15,0.3,4,1.5,0.2,0.40000,4
Kat,52,30,12,Melzner-2,Melzner,2,1,651.3,High,length growth,2.6,0.6,1.2,4,3,0.4,0.80000,4
Kat,43,29,12,Melzner-3,Melzner,3,2,1766.6,Low,somatic mass growth (mg dry mass),5,3.05,6.1,4,17.4,8.05,16.10000,4
Kat,44,30,12,Melzner-3,Melzner,4,2,2062.6,High,somatic mass growth (mg dry mass),34.7,13.6,27.2,4,29.8,7.4,14.80000,4
Kat,53,29,12,Melzner-4,Melzner,3,2,1766.6,Low,length growth,1.2,0.15,0.3,4,1.1,0.15,0.30000,4
Kat,54,30,12,Melzner-4,Melzner,4,2,2062.6,High,length growth,2.6,0.6,1.2,4,2.5,0.2,0.40000,4
Kat,45,29,12,Melzner-5,Melzner,6,3,3414.8,Low,somatic mass growth (mg dry mass),5,3.05,6.1,4,8.5,8.6,17.20000,4
Kat,46,30,12,Melzner-5,Melzner,5,3,3385.1,High,somatic mass growth (mg dry mass),34.7,13.6,27.2,4,36.5,6.05,12.10000,4
Kat,55,29,12,Melzner-6,Melzner,6,3,3414.8,Low,length growth,1.2,0.15,0.3,4,0.6,0.1,0.20000,4
Kat,56,30,12,Melzner-6,Melzner,5,3,3385.1,High,length growth,2.6,0.6,1.2,4,1.8,0.25,0.50000,4
Kat,3,3,2,Pan,Pan,1,1,368.7,Low,body length (um),240.41,11.58,81.91,50,237.297,11.58,81.90771,50
Kat,4,4,2,Pan,Pan,2,1,368.7,High,body length (um),336.98166,11.58,81.91,50,339.27267,11.58,81.90771,50
Norah,59,33,8,Pansch-1,Pansch-Kiel,2,1,496.1,Low,size- Kiel (mm),8.372093,0.213573802,0.604077933,8,8.491694,0.274594898,0.77667,8
Norah,60,34,8,Pansch-1,Pansch-Kiel,1,1,482.5,High,size- Kiel (mm),12.85714286,0.457658146,1.294452715,8,12.79734,0.305105612,0.86297,8
Norah,32,20,8,Pansch-2,Pansch-Tjarno,4,1,615.3,Low,dry weight - Tjarno (mg),0.016342,0.003182143,0.007794626,6,0.019937,0.004153061,0.01017,6
Norah,33,21,8,Pansch-2,Pansch-Tjarno,3,1,507.3,High,dry weight - Tjarno (mg),0.048478,0.006633673,0.016249115,6,0.051015,0.003883163,0.00951,6
Norah,63,35,8,Pansch-3,Pansch-Tjarno,4,1,615.3,Low,size- Tjarno(mm),2.976744186,0.230524104,0.564666427,6,2.897009967,0.284765069,0.69753,6
Norah,64,36,8,Pansch-3,Pansch-Tjarno,3,1,507.3,High,size- Tjarno(mm),3.641196013,0.149162655,0.365372394,6,3.800664452,0.176283138,0.43180,6
Norah,26,18,8,Pansch-4,Pansch-Kiel,5,2,2236.8,Low,dry weight - Kiel (mg),0.062614652,0.004302887,0.012170402,8,0.063886596,0.00676168,0.01912,8
Kat,27,19,8,Pansch-4,Pansch-Kiel,6,2,2251,High,dry weight - Kiel (mg),0.233831708,0.036882814,0.104320351,8,0.239926514,0.016596849,0.04694,8
Norah,61,33,8,Pansch-5,Pansch-Kiel,5,2,2236.8,Low,size- Kiel (mm),8.372093,0.213573802,0.604077933,8,8.431894,0.183063259,0.51778,8
Kat,62,34,8,Pansch-5,Pansch-Kiel,6,2,2251,High,size- Kiel (mm),12.85714286,0.457658146,1.294452715,8,12.91694352,0.366126517,1.03556,8
Norah,30,20,8,Pansch-6,Pansch-Tjarno,8,3,2729.5,Low,dry weight - Tjarno (mg),0.016342,0.003182143,0.007794626,6,0.013277,0.00377551,0.00925,6
Kat,31,21,8,Pansch-6,Pansch-Tjarno,7,3,2567.8,High,dry weight - Tjarno (mg),0.048478,0.006633673,0.016249115,6,0.044249,0.003613265,0.00885,6
Norah,65,35,8,Pansch-7,Pansch-Tjarno,8,3,2729.5,Low,size- Tjarno(mm),2.976744186,0.230524104,0.564666427,6,2.976744186,0.433927724,1.06290,6
Kat,66,36,8,Pansch-7,Pansch-Tjarno,7,3,2567.8,High,size- Tjarno(mm),3.641196013,0.149162655,0.365372394,6,3.61461794,0.230524104,0.56467,6
Norah,28,18,8,Pansch-8,Pansch-Kiel,2,1,496.1,Low,dry weight - Kiel (mg),0.062614652,0.004302887,0.012170402,8,0.066261737,0.005840558,0.01652,8
Norah,29,19,8,Pansch-8,Pansch-Kiel,1,1,482.5,High,dry weight - Kiel (mg),0.233831708,0.036882814,0.104320351,8,0.253144931,0.010757217,0.03043,8
Norah,34,22,9,Ramajo,Ramajo,1,1,899,Low,growth (mm d-1),0.009295,0.002306,0.003994109,3,0.016656,0.00408,0.00707,3
Norah,36,24,9,Ramajo,Ramajo,2,1,967,High,growth (mm d-1),0.016055,0.003282,0.005684591,3,0.03335,0.003459,0.00599,3
Norah,75,41,16,Swezey,Swezey,1,1,665,Low,growth efficiency,1.375989446,0.178100264,0.503743617,8,1.550131926,0.201846966,0.57091,8
Norah,76,42,16,Swezey,Swezey,2,1,665,High,growth efficiency,1.68469657,0.2176781,0.615686643,8,1.914248021,0.245382586,0.69405,8
Kat,8,8,4,Thomsen-1,Thomsen,2,1,740,Low,shell length (um),1422.22,134.3852684,355.55,7,1806,142.4926063,377.00000,7
Kat,10,10,4,Thomsen-1,Thomsen,1,1,740,High,shell length (um),3875,250.9684101,664,7,3342,215.137378,569.20000,7
Kat,11,8,4,Thomsen-2,Thomsen,4,2,2020,Low,shell length (um),1422.22,134.3852684,355.55,7,1464.8,99.55584219,263.40000,7
Kat,13,10,4,Thomsen-2,Thomsen,3,2,2020,High,shell length (um),3875,250.9684101,664,7,3471.4,238.457786,630.90000,7
Kat,14,8,4,Thomsen-3,Thomsen,6,3,3620,Low,shell length (um),1422.22,134.3852684,355.55,7,1300.6,28.23394613,74.70000,7
Kat,16,10,4,Thomsen-3,Thomsen,5,3,3620,High,shell length (um),3875,250.9684101,664,7,3379.5,256.0709305,677.50000,7
Joey,8,8,4,Thomsen-4,Thomsen,2,1,740,Low,organic mass (mg),0.062676,3.78E-05,0.0001,7,0.105749293,3.78E-05,0.00010,7
Joey,10,10,4,Thomsen-4,Thomsen,1,1,740,High,organic mass (mg),0.708953817,0.102737925,0.271819,7,0.557775,0.110076361,0.29123,7
Joey,11,8,4,Thomsen-5,Thomsen,4,2,2020,Low,organic mass (mg),0.062676,3.78E-05,0.0001,7,0.090386428,3.78E-05,0.00010,7
Joey,13,10,4,Thomsen-5,Thomsen,3,2,2020,High,organic mass (mg),0.708953817,0.102737925,0.271819,7,0.639679548,0.132091637,0.34948,7
Joey,14,8,4,Thomsen-6,Thomsen,6,3,3620,Low,organic mass (mg),0.062676,3.78E-05,0.0001,7,0.09462771,3.78E-05,0.00010,7
Joey,16,10,4,Thomsen-6,Thomsen,5,3,3620,High,organic mass (mg),0.708953817,0.102737925,0.271819,7,0.585579642,0.099068728,0.26211,7
Norah,37,25,10,Towle,Towle,2,1,409,Low,growth (mg cm-2 d-1),1.380822,0.086301,0.272907724,10,1.006849,0.09589,0.30323,10
Norah,38,26,10,Towle,Towle,1,1,409,High,growth (mg cm-2 d-1),1.300913,0.099087,0.313340607,10,1.32968,0.089498,0.28302,10
