"data_entry_person.x","observation_id.x","paper_no.x","author","deltaco2.x","unit.x","food_supply.x","C","se_ambient.x","s_C","n_C","A","se_elevated.x","s_A","n_A","x_empty.x","x_empty_2.x","x_empty_3.x","x_empty_4.x","x_empty_5.x","data_entry_person.y","observation_id.y","paper_no.y","deltaco2.y","unit.y","food_supply.y","B","se_ambient.y","s_B","n_B","AB","se_elevated.y","s_AB","n_AB","x_empty.y","x_empty_2.y","x_empty_3.y","x_empty_4.y","x_empty_5.y","log_AB","log_A","log_B","log_C","lnRR_interaction","sampling_variance_interaction","lnRR_overall_CO2","sampling_variance_overall_CO2","lnRR_overall_food","sampling_variance_overall_food"
"Norah",60,8,"Pansch-1",482.5,"size- Kiel (mm)","High",12.8571,0.457658,1.29445,8,12.7973,0.305106,0.862969,8,NA,NA,NA,NA,"","Norah",59,8,496.1,"size- Kiel (mm)","Low",8.37209,0.213574,0.604078,8,8.49169,0.274595,0.776672,8,NA,NA,NA,NA,"",2.13909,2.54924,2.1249,2.5539,0.0188468,0.0035319,0.00281282,0.000937718,-0.41955,0.000885214
"Norah",33,8,"Pansch-2",507.3,"dry weight - Tjarno (mg)","High",0.048478,0.00663367,0.0162491,6,0.051015,0.00388316,0.00951177,6,NA,NA,NA,NA,"","Norah",32,8,615.3,"dry weight - Tjarno (mg)","Low",0.016342,0.00318214,0.00779463,6,0.019937,0.00415306,0.0101729,6,NA,NA,NA,NA,"",-3.91518,-2.97564,-4.11402,-3.02665,0.147829,0.105828,0.0903894,0.019305,-1.00885,0.0267671
"Norah",64,8,"Pansch-3",507.3,"size- Tjarno(mm)","High",3.6412,0.149163,0.365372,6,3.80066,0.176283,0.431804,6,NA,NA,NA,NA,"","Norah",63,8,615.3,"size- Tjarno(mm)","Low",2.97674,0.230524,0.564666,6,2.89701,0.284765,0.697529,6,NA,NA,NA,NA,"",1.06368,1.33518,1.09083,1.29231,-0.0700147,0.0194888,0.0119762,0.00422181,-0.236627,0.00485356
"Kat",27,8,"Pansch-4",2251,"dry weight - Kiel (mg)","High",0.233832,0.0368828,0.10432,8,0.239927,0.0165968,0.046943,8,NA,NA,NA,NA,"","Norah",26,8,2236.8,"dry weight - Kiel (mg)","Low",0.0626147,0.00430289,0.0121704,8,0.0638866,0.00676168,0.0191249,8,NA,NA,NA,NA,"",-2.75065,-1.42742,-2.77076,-1.45315,-0.00562076,0.0455889,0.0245465,0.0191697,-1.32044,0.0113022
"Kat",62,8,"Pansch-5",2251,"size- Kiel (mm)","High",12.8571,0.457658,1.29445,8,12.9169,0.366127,1.03556,8,NA,NA,NA,NA,"","Norah",61,8,2236.8,"size- Kiel (mm)","Low",8.37209,0.213574,0.604078,8,8.43189,0.183063,0.517781,8,NA,NA,NA,NA,"",2.13202,2.55854,2.1249,2.5539,0.00247713,0.0031926,0.00561801,0.000933596,-0.427753,0.000797299
"Kat",31,8,"Pansch-6",2567.8,"dry weight - Tjarno (mg)","High",0.048478,0.00663367,0.0162491,6,0.044249,0.00361327,0.00885066,6,NA,NA,NA,NA,"","Norah",30,8,2729.5,"dry weight - Tjarno (mg)","Low",0.016342,0.00318214,0.00779463,6,0.013277,0.00377551,0.00924807,6,NA,NA,NA,NA,"",-4.32172,-3.11792,-4.11402,-3.02665,-0.116428,0.144173,-0.119377,0.0211362,-1.14124,0.0344272
"Kat",66,8,"Pansch-7",2567.8,"size- Tjarno(mm)","High",3.6412,0.149163,0.365372,6,3.61462,0.230524,0.564666,6,NA,NA,NA,NA,"","Norah",65,8,2729.5,"size- Tjarno(mm)","Low",2.97674,0.230524,0.564666,6,2.97674,0.433928,1.0629,6,NA,NA,NA,NA,"",1.09083,1.28499,1.09083,1.29231,0.00732604,0.0329923,-0.00402415,0.00727848,-0.197826,0.00824373
"Norah",29,8,"Pansch-8",482.5,"dry weight - Kiel (mg)","High",0.233832,0.0368828,0.10432,8,0.253145,0.0107572,0.030426,8,NA,NA,NA,NA,"","Norah",28,8,496.1,"dry weight - Kiel (mg)","Low",0.0626147,0.00430289,0.0121704,8,0.0662617,0.00584056,0.0165196,8,NA,NA,NA,NA,"",-2.71414,-1.37379,-2.77076,-1.45315,-0.0227472,0.039177,0.0745988,0.0171588,-1.32936,0.00939282
"Norah",36,9,"Ramajo",967,"growth (mm d-1)","High",0.016055,0.003282,0.00568459,3,0.03335,0.003459,0.00599116,3,NA,NA,NA,NA,"","Norah",34,9,899,"growth (mm d-1)","Low",0.009295,0.002306,0.00399411,3,0.016656,0.00408,0.00706677,3,NA,NA,NA,NA,"",-4.09498,-3.4007,-4.67828,-4.13173,-0.147744,0.174099,0.679364,0.0364784,-0.643841,0.0419288
"Kat",10,4,"Thomsen-1",740,"shell length (um)","High",3875,250.968,664,7,3342,215.137,569.2,7,NA,NA,NA,NA,"NB: should we use the metric dry weight here instead of size??","Kat",8,4,740,"shell length (um)","Low",1422.22,134.385,355.55,7,1806,142.493,377,7,NA,NA,NA,NA,"NB: should we use the metric dry weight here instead of size??",7.49887,8.11432,7.25997,8.2623,0.386872,0.0234921,-0.0285739,0.00540079,-0.804508,0.00577912
"Kat",13,4,"Thomsen-2",2020,"shell length (um)","High",3875,250.968,664,7,3471.4,238.458,630.9,7,NA,NA,NA,NA,"NB: should we use the metric dry weight here instead of size??","Kat",11,4,2020,"shell length (um)","Low",1422.22,134.385,355.55,7,1464.8,99.5558,263.4,7,NA,NA,NA,NA,"NB: should we use the metric dry weight here instead of size??",7.28947,8.15231,7.25997,8.2623,0.139487,0.0224609,-0.0705864,0.00562863,-0.933986,0.00557651
"Kat",16,4,"Thomsen-3",3620,"shell length (um)","High",3875,250.968,664,7,3379.5,256.071,677.5,7,NA,NA,NA,NA,"NB: should we use the metric dry weight here instead of size??","Kat",14,4,3620,"shell length (um)","Low",1422.22,134.385,355.55,7,1300.6,28.2339,74.7,7,NA,NA,NA,NA,"NB: should we use the metric dry weight here instead of size??",7.17058,8.12548,7.25997,8.2623,0.0474246,0.0193356,-0.123863,0.00591831,-0.979954,0.00498623
"Joey",10,4,"Thomsen-4",740,"organic mass (mg)","High",0.708954,0.102738,0.271819,7,0.557775,0.110076,0.291235,7,NA,NA,NA,NA,"","Joey",8,4,740,"organic mass (mg)","Low",0.062676,3.78e-05,0.0001,7,0.105749,3.78e-05,0.0001,7,NA,NA,NA,NA,"",-2.24668,-0.5838,-2.76978,-0.343965,0.762927,0.0599474,-0.150939,0.045249,-2.0177,0.0141294
"Joey",13,4,"Thomsen-5",2020,"organic mass (mg)","High",0.708954,0.102738,0.271819,7,0.63968,0.132092,0.349482,7,NA,NA,NA,NA,"","Joey",11,4,2020,"organic mass (mg)","Low",0.062676,3.78e-05,0.0001,7,0.0903864,3.78e-05,0.0001,7,NA,NA,NA,NA,"",-2.40366,-0.446788,-2.76978,-0.343965,0.468939,0.0636417,-0.05537,0.0504634,-2.176,0.0153966
"Joey",16,4,"Thomsen-6",3620,"organic mass (mg)","High",0.708954,0.102738,0.271819,7,0.58558,0.0990687,0.262111,7,NA,NA,NA,NA,"","Joey",14,4,3620,"organic mass (mg)","Low",0.062676,3.78e-05,0.0001,7,0.0946277,3.78e-05,0.0001,7,NA,NA,NA,NA,"",-2.3578,-0.535153,-2.76978,-0.343965,0.60316,0.0496229,-0.126107,0.0389398,-2.10773,0.0121552
"Norah",38,10,"Towle",409,"growth (mg cm-2 d-1)","High",1.30091,0.099087,0.313341,10,1.32968,0.089498,0.283018,10,NA,NA,NA,NA,"","Norah",37,10,409,"growth (mg cm-2 d-1)","Low",1.38082,0.086301,0.272908,10,1.00685,0.09589,0.303231,10,NA,NA,NA,NA,"",0.00682565,0.284938,0.322679,0.263066,-0.337725,0.0233082,-0.137797,0.00555226,-0.0968909,0.00549559
